F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:-1.87, GyroY:0.93, GyroZ:1.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:-1.95, GyroY:0.94, GyroZ:1.52
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:-1.98, GyroY:1.08, GyroZ:1.14
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.09, AccZ:0.86, GyroX:-2.07, GyroY:0.73, GyroZ:0.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:-0.85, GyroY:0.59, GyroZ:0.66
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.84, GyroX:-2.36, GyroY:1.07, GyroZ:0.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.08, AccZ:0.88, GyroX:-1.21, GyroY:0.93, GyroZ:0.80
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:-2.01, GyroY:0.82, GyroZ:1.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.07, AccZ:0.88, GyroX:-1.17, GyroY:0.14, GyroZ:1.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.87, GyroX:-0.54, GyroY:-0.95, GyroZ:1.32
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.84, GyroX:-2.30, GyroY:-1.02, GyroZ:1.28
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.08, AccZ:0.83, GyroX:-2.59, GyroY:0.20, GyroZ:0.63
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.84, GyroX:-1.15, GyroY:1.16, GyroZ:-0.01
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.07, AccZ:0.86, GyroX:0.50, GyroY:1.27, GyroZ:-0.33
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.07, AccZ:0.86, GyroX:1.38, GyroY:0.96, GyroZ:-1.09
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.09, AccZ:0.87, GyroX:2.94, GyroY:-0.14, GyroZ:-0.82
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:1.50, GyroY:-0.38, GyroZ:-0.43
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:1.96, GyroY:-0.48, GyroZ:-0.31
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:0.05, GyroY:-1.31, GyroZ:-0.21
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:-1.26, GyroY:-1.36, GyroZ:-0.56
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.85, GyroX:0.13, GyroY:-0.66, GyroZ:-0.94
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.84, GyroX:1.17, GyroY:0.99, GyroZ:-1.47
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.86, GyroX:1.93, GyroY:2.06, GyroZ:-1.87
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:3.24, GyroY:1.45, GyroZ:-1.53
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.11, AccZ:0.88, GyroX:2.07, GyroY:-0.15, GyroZ:-0.82
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:0.33, GyroY:-0.92, GyroZ:-0.10
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.84, GyroX:-1.08, GyroY:-0.35, GyroZ:0.11
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.84, GyroX:-1.17, GyroY:0.65, GyroZ:0.69
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.10, AccZ:0.84, GyroX:-1.29, GyroY:1.36, GyroZ:0.65
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.86, GyroX:-2.04, GyroY:2.20, GyroZ:0.36
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.08, AccZ:0.86, GyroX:0.07, GyroY:1.92, GyroZ:-0.18
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.08, AccZ:0.87, GyroX:-0.27, GyroY:0.91, GyroZ:-0.08
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.35, AccY:0.10, AccZ:0.87, GyroX:0.19, GyroY:-0.12, GyroZ:0.27
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:-0.77, GyroY:-0.78, GyroZ:0.73
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:0.16, GyroY:-0.72, GyroZ:0.83
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.84, GyroX:-1.63, GyroY:-0.32, GyroZ:0.80
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.08, AccZ:0.84, GyroX:-1.67, GyroY:0.35, GyroZ:0.19
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.06, AccZ:0.86, GyroX:-0.77, GyroY:1.11, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.87, GyroX:2.47, GyroY:1.16, GyroZ:-1.12
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:2.10, GyroY:0.46, GyroZ:-0.79
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.27, GyroY:0.04, GyroZ:-0.79
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:0.94, GyroY:-0.75, GyroZ:-0.59
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.87, GyroX:2.19, GyroY:-0.84, GyroZ:-0.68
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:2.14, GyroY:-1.41, GyroZ:-0.30
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.94, GyroY:-1.51, GyroZ:-0.14
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.08, GyroY:-1.06, GyroZ:0.08
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.85, GyroX:-0.22, GyroY:-0.83, GyroZ:-0.22
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.84, GyroX:-0.60, GyroY:0.24, GyroZ:-1.09
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.85, GyroX:0.94, GyroY:1.22, GyroZ:-1.67
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:3.73, GyroY:0.75, GyroZ:-1.50
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.11, AccZ:0.87, GyroX:3.59, GyroY:-0.00, GyroZ:-0.80
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:0.76, GyroY:-0.60, GyroZ:-0.14
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-1.75, GyroY:-0.54, GyroZ:0.33
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.84, GyroX:-1.40, GyroY:0.14, GyroZ:0.27
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.85, GyroX:0.07, GyroY:0.85, GyroZ:0.15
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:0.82, GyroY:0.65, GyroZ:-0.04
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.27, GyroY:0.24, GyroZ:0.24
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.08, GyroY:0.03, GyroZ:0.24
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:-0.76, GyroY:-0.20, GyroZ:0.11
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.86, GyroX:-1.08, GyroY:0.27, GyroZ:-0.14
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.06, AccZ:0.85, GyroX:1.05, GyroY:1.05, GyroZ:-0.95
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.86, GyroX:2.85, GyroY:1.27, GyroZ:-1.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.11, AccZ:0.87, GyroX:2.88, GyroY:0.32, GyroZ:-0.91
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:0.63, GyroY:-0.17, GyroZ:-0.04
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.12, AccZ:0.85, GyroX:-1.08, GyroY:-0.29, GyroZ:0.37
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.09, AccZ:0.85, GyroX:-1.64, GyroY:-0.31, GyroZ:0.54
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.85, GyroX:-0.70, GyroY:-0.03, GyroZ:0.21
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.07, AccZ:0.85, GyroX:1.01, GyroY:0.73, GyroZ:-0.50
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:3.35, GyroY:0.75, GyroZ:-0.34
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:1.35, GyroY:0.46, GyroZ:0.18
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:-0.86, GyroY:-0.17, GyroZ:-0.14
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:-0.91, GyroY:-0.08, GyroZ:-0.05
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.86, GyroX:0.56, GyroY:0.41, GyroZ:-0.05
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.87, GyroX:1.50, GyroY:-0.12, GyroZ:-0.40
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:1.85, GyroY:-0.11, GyroZ:-0.71
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.09, AccZ:0.85, GyroX:2.48, GyroY:-0.66, GyroZ:-0.56
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:1.81, GyroY:-0.86, GyroZ:-0.37
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.08, AccZ:0.85, GyroX:1.40, GyroY:-0.37, GyroZ:-0.66
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.67, GyroY:0.12, GyroZ:-0.86
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.87, GyroX:1.84, GyroY:0.67, GyroZ:-0.39
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.11, AccZ:0.86, GyroX:0.53, GyroY:0.73, GyroZ:-0.14
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:0.37, GyroY:0.65, GyroZ:0.39
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.86, GyroX:-0.53, GyroY:0.82, GyroZ:0.13
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.86, GyroX:0.92, GyroY:0.14, GyroZ:-0.43
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.30, GyroY:0.58, GyroZ:-0.22
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:1.34, GyroY:1.08, GyroZ:-0.04
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.11, AccZ:0.87, GyroX:1.09, GyroY:1.17, GyroZ:-0.04
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.10, AccZ:0.86, GyroX:0.72, GyroY:0.82, GyroZ:-0.11
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:0.40, GyroY:0.12, GyroZ:0.18
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:1.73, GyroY:0.17, GyroZ:0.36
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:0.77, GyroY:-0.25, GyroZ:0.48
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-0.62, GyroY:-0.43, GyroZ:0.13
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:-0.07, GyroY:0.01, GyroZ:0.07
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.84, GyroX:1.82, GyroY:0.59, GyroZ:-0.33
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.99, GyroY:0.56, GyroZ:-0.57
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:2.17, GyroY:-0.03, GyroZ:-0.28
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.11, AccZ:0.86, GyroX:0.79, GyroY:0.01, GyroZ:-0.30
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.84, GyroX:0.62, GyroY:0.58, GyroZ:-0.22
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.09, AccZ:0.85, GyroX:0.69, GyroY:0.81, GyroZ:-0.59
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.09, AccZ:0.85, GyroX:1.75, GyroY:0.93, GyroZ:-0.68
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:2.10, GyroY:0.67, GyroZ:-0.50
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.11, AccZ:0.87, GyroX:2.27, GyroY:-0.48, GyroZ:0.07
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.11, AccZ:0.87, GyroX:1.11, GyroY:-1.28, GyroZ:0.60
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.24, GyroY:-1.77, GyroZ:0.71
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.09, AccZ:0.86, GyroX:-0.82, GyroY:-1.65, GyroZ:0.39
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.39, AccY:0.06, AccZ:0.83, GyroX:-0.04, GyroY:-0.46, GyroZ:-0.76
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.07, AccZ:0.86, GyroX:4.43, GyroY:0.36, GyroZ:-1.15
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:4.76, GyroY:0.40, GyroZ:-1.37
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.13, AccZ:0.87, GyroX:3.67, GyroY:-1.18, GyroZ:-0.68
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.12, AccZ:0.87, GyroX:0.53, GyroY:-2.98, GyroZ:0.01
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.30, GyroY:-3.19, GyroZ:-0.01
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.84, GyroX:0.76, GyroY:-1.70, GyroZ:-0.74
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.08, AccZ:0.85, GyroX:3.15, GyroY:-1.10, GyroZ:-1.89
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:4.57, GyroY:-1.13, GyroZ:-0.97
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:2.63, GyroY:-1.41, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.11, AccZ:0.84, GyroX:0.98, GyroY:-1.22, GyroZ:-0.68
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.10, AccZ:0.83, GyroX:0.39, GyroY:-0.89, GyroZ:-0.88
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.09, AccZ:0.84, GyroX:1.06, GyroY:-0.22, GyroZ:-1.40
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.10, AccZ:0.85, GyroX:2.59, GyroY:0.21, GyroZ:-1.21
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.10, AccZ:0.85, GyroX:2.50, GyroY:0.07, GyroZ:-1.63
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:2.72, GyroY:-0.19, GyroZ:-2.08
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.37, AccY:0.09, AccZ:0.88, GyroX:3.38, GyroY:-1.65, GyroZ:-3.12
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.87, GyroX:5.96, GyroY:-2.48, GyroZ:-4.47
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.12, AccZ:0.84, GyroX:6.62, GyroY:-2.66, GyroZ:-4.31
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.38, AccY:0.13, AccZ:0.83, GyroX:4.91, GyroY:-1.53, GyroZ:-3.27
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.15, AccZ:0.80, GyroX:2.69, GyroY:1.60, GyroZ:-2.05
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.12, AccZ:0.84, GyroX:2.62, GyroY:2.87, GyroZ:-2.04
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.11, AccZ:0.86, GyroX:3.35, GyroY:2.29, GyroZ:-2.22
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.08, AccZ:0.88, GyroX:5.14, GyroY:-0.34, GyroZ:-3.96
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.05, AccZ:0.89, GyroX:9.67, GyroY:-2.99, GyroZ:-6.72
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.08, AccZ:0.90, GyroX:14.02, GyroY:-7.91, GyroZ:-8.48
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.42, AccY:0.08, AccZ:0.79, GyroX:7.85, GyroY:-6.93, GyroZ:-9.44
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.40, AccY:0.11, AccZ:0.85, GyroX:10.37, GyroY:-8.96, GyroZ:-8.95
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.34, AccY:0.20, AccZ:0.75, GyroX:7.84, GyroY:-4.77, GyroZ:-2.85
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.19, AccZ:0.81, GyroX:-1.38, GyroY:0.46, GyroZ:-1.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.17, AccZ:0.82, GyroX:1.27, GyroY:2.87, GyroZ:1.67
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.17, AccZ:0.85, GyroX:-0.91, GyroY:3.72, GyroZ:2.88
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.13, AccZ:0.87, GyroX:-3.37, GyroY:2.11, GyroZ:3.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.11, AccZ:0.89, GyroX:-3.60, GyroY:-0.46, GyroZ:2.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.07, AccZ:0.85, GyroX:0.54, GyroY:-0.64, GyroZ:0.85
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.08, AccZ:0.84, GyroX:1.14, GyroY:-1.25, GyroZ:-0.79
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.09, AccZ:0.84, GyroX:3.50, GyroY:-0.95, GyroZ:-1.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.11, AccZ:0.82, GyroX:3.96, GyroY:0.09, GyroZ:-2.91
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.14, AccZ:0.83, GyroX:5.09, GyroY:0.96, GyroZ:-2.74
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.16, AccZ:0.85, GyroX:3.58, GyroY:0.11, GyroZ:-1.95
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.17, AccZ:0.85, GyroX:0.94, GyroY:-0.69, GyroZ:-0.65
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.16, AccZ:0.84, GyroX:-0.66, GyroY:-0.54, GyroZ:0.27
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.83, GyroX:-0.60, GyroY:0.09, GyroZ:0.73
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.84, GyroX:-0.16, GyroY:1.31, GyroZ:0.95
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.85, GyroX:-0.70, GyroY:1.17, GyroZ:0.74
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.11, AccZ:0.88, GyroX:0.42, GyroY:0.24, GyroZ:0.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.11, AccZ:0.85, GyroX:1.32, GyroY:-0.95, GyroZ:-0.39
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.12, AccZ:0.84, GyroX:1.79, GyroY:-0.78, GyroZ:-0.91
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.83, GyroX:1.18, GyroY:0.33, GyroZ:-1.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.14, AccZ:0.83, GyroX:2.16, GyroY:0.33, GyroZ:-0.91
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.15, AccZ:0.85, GyroX:1.32, GyroY:0.01, GyroZ:-0.45
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.15, AccZ:0.85, GyroX:0.59, GyroY:-0.52, GyroZ:0.13
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.14, AccZ:0.85, GyroX:-0.04, GyroY:-0.72, GyroZ:0.36
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.14, AccZ:0.83, GyroX:-0.31, GyroY:0.18, GyroZ:0.66
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.84, GyroX:1.06, GyroY:-0.08, GyroZ:0.10
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.12, AccZ:0.85, GyroX:1.08, GyroY:-0.54, GyroZ:0.02
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.12, AccZ:0.87, GyroX:1.82, GyroY:-0.40, GyroZ:0.04
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.12, AccZ:0.86, GyroX:1.79, GyroY:-0.96, GyroZ:-0.57
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.85, GyroX:2.69, GyroY:-1.28, GyroZ:-0.91
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.13, AccZ:0.83, GyroX:2.36, GyroY:-1.15, GyroZ:-0.95
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.83, GyroX:1.52, GyroY:-0.84, GyroZ:-0.71
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.14, AccZ:0.85, GyroX:1.79, GyroY:-0.66, GyroZ:-0.57
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.13, AccZ:0.88, GyroX:0.39, GyroY:-3.10, GyroZ:-0.71
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.40, AccY:0.14, AccZ:0.87, GyroX:-0.56, GyroY:-4.67, GyroZ:-0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.39, AccY:0.11, AccZ:0.86, GyroX:-0.07, GyroY:-5.94, GyroZ:-1.15
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.40, AccY:0.12, AccZ:0.82, GyroX:1.98, GyroY:-4.92, GyroZ:-1.70
